[10:51:54.270] |I| [load_self]: Loaded module segment 1 @ [0x00332000 - 0x003BC394 / 0x8122D000] (size: 0x0008A394) of module app0:eboot.bin
[10:51:54.271] |I| [load_self]: Linking SELF app0:eboot.bin...
[10:51:54.272] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1dc5b4
[10:51:54.274] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x358290
[10:51:54.276] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x32cf44
[10:51:54.277] |I| [load_app_impl]: Main executable Artorius (eboot.bin) loaded
[10:51:54.279] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[10:51:54.280] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[10:51:54.285] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/20
[10:51:54.288] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/20
[10:51:54.296] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/20
[10:51:54.310] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 4/20
[10:51:54.324] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 5/20
[10:51:54.336] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 6/20
[10:51:54.350] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 7/20
[10:51:54.363] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 8/20
[10:51:54.376] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 9/20
[10:51:54.390] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 10/20
[10:51:54.403] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 11/20
[10:51:54.416] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 12/20
[10:51:54.430] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 13/20
[10:51:54.443] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 14/20
[10:51:54.457] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 15/20
[10:51:54.470] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 16/20
[10:51:54.483] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 17/20
[10:51:54.497] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 18/20
[10:51:54.510] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 19/20
[10:51:54.523] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 20/20
[10:51:54.561] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[10:51:54.712] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[10:51:54.713] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[10:51:54.714] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[10:51:54.731] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[10:51:54.734] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[10:51:54.758] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[10:51:54.761] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
