[18:49:45.896] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x2dff68
[18:49:45.897] |I| [load_app_impl]: Main executable eboot (eboot.bin) loaded
[18:49:45.911] |I| [renderer::gl::compile_shader]: frag shader compiled: b3d445b1c3e25dc677f97805b623d335fe98aacaac4b1ebf55dc3e99dfff6356
[18:49:45.916] |I| [renderer::gl::compile_shader]: vert shader compiled: fa580da127132889a26bf718a232cce2b6a0c6ce1778586096a76f3b138850fa
[18:49:45.931] |I| [renderer::gl::pre_compile_program]: Program Compiled 1/5
[18:49:45.951] |I| [renderer::gl::compile_shader]: frag shader compiled: 42f03945ab65c7bffeacce69d1ea4eb20e183f3fc10517a1a4da59845e0bd1d6
[18:49:45.955] |I| [renderer::gl::compile_shader]: vert shader compiled: 15f825baa9766884dd0c65d0c5d32189b561ae60c8ffc55bac6a804d63c7eef7
[18:49:45.965] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/5
[18:49:45.970] |I| [renderer::gl::compile_shader]: frag shader compiled: ec4a15041d85995a0e7f16bc13b50cdb0190b42a327869ae23f5289c071e3b18
[18:49:45.974] |I| [renderer::gl::compile_shader]: vert shader compiled: c494dfb1997221d0eed91ecbdfbc4bbc2d2c3360828fb3dcb28af00a1b2caf8f
[18:49:45.984] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/5
[18:49:45.992] |I| [renderer::gl::compile_shader]: frag shader compiled: cc6d427ebf2f3d86ba54de028b1806b75d2f749b8ff6e6ede06032500e573d21
[18:49:45.995] |I| [renderer::gl::compile_shader]: vert shader compiled: c15026e5f3a5c1adabfcb9f9c2789847203a9ea79b40342e1deac8d60c95d53f
[18:49:46.009] |I| [renderer::gl::pre_compile_program]: Program Compiled 4/5
[18:49:46.015] |I| [renderer::gl::compile_shader]: frag shader compiled: f00f502c3906e060028382707735b7e46a46ffaced38837eb2d494985c35e3a1
[18:49:46.017] |I| [renderer::gl::compile_shader]: vert shader compiled: c15026e5f3a5c1adabfcb9f9c2789847203a9ea79b40342e1deac8d60c95d53f
[18:49:46.031] |I| [renderer::gl::pre_compile_program]: Program Compiled 5/5
[18:49:46.057] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[18:49:46.100] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[18:49:46.101] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[18:49:46.102] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[18:49:46.115] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[18:49:46.120] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[18:49:46.141] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[18:49:46.143] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[18:49:46.147] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[18:49:46.167] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[18:49:46.168] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[18:49:46.186] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[18:49:46.309] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[18:49:46.351] |E| [call_import]: Import function for NID 0xd7f0f610 not found (thread name: PCSG00815, thread ID: 7)
[18:49:46.354] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[18:49:46.372] |I| [load_module]: Loading module ID: 0x13
[18:49:46.374] |I| [load_self]: sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
