[08:35:34.268] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM127.AT9
[08:35:34.378] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM128.AT9
[08:35:34.464] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM129.AT9
[08:35:34.608] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM130.AT9
[08:35:34.694] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM131.AT9
[08:35:34.759] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM132.AT9
[08:35:34.867] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM133.AT9
[08:35:34.914] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM134.AT9
[08:35:35.022] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/BGM/1/BGM135.AT9
[08:35:35.182] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/copyright.png
[08:35:35.191] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/CORE.DAT
[08:35:35.318] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/DATA.PAK
[08:35:53.675] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/100100.gxt
[08:35:53.734] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/100100msk.gxt
[08:35:53.739] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/DEBUG.DAT
[08:35:53.791] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/icon.png
[08:35:53.796] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/icon_empty.png
[08:35:53.802] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/ALBUM_RANGE.CSV
[08:35:53.804] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/BGM_RANGE.CSV
[08:35:53.806] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/DICT_RANGE.CSV
[08:35:53.808] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/EXTRA_RANGE.CSV
[08:35:53.816] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/GALLERY_RANGE.CSV
[08:35:53.819] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/ILLUST_RANGE.CSV
[08:35:53.822] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/LOG_RANGE.CSV
[08:35:53.824] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/MEMOIRS_CHAR_RANGE.CSV
[08:35:53.826] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/MEMOIRS_EVSEL_RANGE.CSV
[08:35:53.829] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/MEMOIRS_SEASON_RANGE.CSV
[08:35:53.832] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/MOVIE_RANGE.CSV
[08:35:53.834] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/NAMEENTRY_RANGE.CSV
[08:35:53.836] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/OPTION_RANGE.CSV
[08:35:53.838] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/CSV/SAVELOAD_RANGE.CSV
