[15:09:04.379] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x010E686C / 0x81000000] (size: 0x00FE186C) of module app0:eboot.bin
[15:09:04.380] |I| [load_self]: Loaded module segment 1 @ [0x010E7000 - 0x0123B7A0 / 0x81FE2000] (size: 0x001547A0) of module app0:eboot.bin
[15:09:04.381] |I| [load_self]: Linking SELF app0:eboot.bin...
[15:09:04.381] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xedbe08
[15:09:04.381] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x1110ca4
[15:09:04.382] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x1034c90
[15:09:04.382] |W| [load_var_imports]: 	NID NOT FOUND 0x338b0bd1 (UNRECOGNISED) at 0xf2769c, setting to stub value 0xdeadbeef
[15:09:04.383] |W| [load_var_imports]: 	NID NOT FOUND 0x3a451b91 (UNRECOGNISED) at 0xf27688, setting to stub value 0xdeadbeef
[15:09:04.384] |W| [load_var_imports]: 	NID NOT FOUND 0x550dfe23 (UNRECOGNISED) at 0xf276b0, setting to stub value 0xdeadbeef
[15:09:04.385] |W| [load_var_imports]: 	NID NOT FOUND 0x56354517 (UNRECOGNISED) at 0xf27650, setting to stub value 0xdeadbeef
[15:09:04.386] |W| [load_var_imports]: 	NID NOT FOUND 0x5ef67445 (UNRECOGNISED) at 0xf27714, setting to stub value 0xdeadbeef
[15:09:04.386] |W| [load_var_imports]: 	NID NOT FOUND 0x6aca1d57 (UNRECOGNISED) at 0xf276d8, setting to stub value 0xdeadbeef
[15:09:04.387] |W| [load_var_imports]: 	NID NOT FOUND 0x71a78083 (UNRECOGNISED) at 0xf27674, setting to stub value 0xdeadbeef
[15:09:04.388] |W| [load_var_imports]: 	NID NOT FOUND 0x79f9db75 (UNRECOGNISED) at 0xf276c4, setting to stub value 0xdeadbeef
[15:09:04.389] |W| [load_var_imports]: 	NID NOT FOUND 0xaa0340c3 (UNRECOGNISED) at 0xf276ec, setting to stub value 0xdeadbeef
[15:09:04.390] |W| [load_var_imports]: 	NID NOT FOUND 0xf9a1de92 (UNRECOGNISED) at 0xf27700, setting to stub value 0xdeadbeef
[15:09:04.390] |W| [load_var_imports]: 	NID NOT FOUND 0x6ef1e48 (UNRECOGNISED) at 0xf27728, setting to stub value 0xdeadbeef
[15:09:04.392] |I| [load_app_impl]: Main executable UnityPlayer_532_Release (eboot.bin) loaded
[15:09:04.409] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[15:09:04.428] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[15:09:04.428] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[15:09:04.429] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[15:09:04.437] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[15:09:04.440] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[15:09:04.456] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[15:09:04.456] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[15:09:04.459] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[15:09:04.474] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[15:09:04.474] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[15:09:04.483] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[15:09:04.819] |W| [stubbed_impl]: Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[15:09:04.819] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[15:09:04.820] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/pthread.suprx (ux0:/app/PCSE00838/Media/Modules/pthread.suprx), fd: 0x3
[15:09:04.820] |I| [load_self]: app0:/Media/Modules/pthread.suprx: Skipping special segment 0x6fffff01...
[15:09:04.820] |I| [load_self]: Loaded module segment 0 @ [0x01289000 - 0x0128FC9C / 0x81000000] (size: 0x00006C9C) of module app0:/Media/Modules/pthread.suprx
[15:09:04.821] |I| [load_self]: Loaded module segment 1 @ [0x01391000 - 0x01393178 / 0x81007000] (size: 0x00002178) of module app0:/Media/Modules/pthread.suprx
[15:09:04.822] |I| [load_self]: Linking SELF app0:/Media/Modules/pthread.suprx...
[15:09:04.822] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x128e7e4
[15:09:04.822] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x128fc98
[15:09:04.823] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x3
[15:09:04.823] |I| [start_module]: Module PTHREAD_PRX (at "app0:/Media/Modules/pthread.suprx") module_start returned 0x0
[15:09:04.824] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xde0cece6 UNRECOGNISED at 0xedae48
[15:09:04.824] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xd5fd9ffa UNRECOGNISED at 0xedae38
[15:09:04.825] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/mono-vita.suprx (ux0:/app/PCSE00838/Media/Modules/mono-vita.suprx), fd: 0x4
[15:09:04.829] |I| [load_self]: app0:/Media/Modules/mono-vita.suprx: Skipping special segment 0x6fffff01...
[15:09:04.829] |I| [load_self]: Loaded module segment 0 @ [0x016AA000 - 0x018FE224 / 0x81000000] (size: 0x00254224) of module app0:/Media/Modules/mono-vita.suprx
[15:09:04.830] |I| [load_self]: Loaded module segment 1 @ [0x018FF000 - 0x01966D70 / 0x81255000] (size: 0x00067D70) of module app0:/Media/Modules/mono-vita.suprx
[15:09:04.831] |I| [load_self]: Linking SELF app0:/Media/Modules/mono-vita.suprx...
[15:09:04.831] |D| [load_var_exports]: Found previously not found variable. nid:0x6ef1e48, new_entry_point:0x1906c50
[15:09:04.831] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1843ddc
[15:09:04.832] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x18e0e14
[15:09:04.832] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x4
[15:09:04.833] |I| [start_module]: Module MONO (at "app0:/Media/Modules/mono-vita.suprx") module_start returned 0x0
[15:09:04.833] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:/Media/Modules/MonoAssembliesPSP2.suprx (ux0:/app/PCSE00838/Media/Modules/MonoAssembliesPSP2.suprx), fd: 0x5
[15:09:04.845] |I| [load_self]: app0:/Media/Modules/MonoAssembliesPSP2.suprx: Skipping special segment 0x6fffff01...
[15:09:04.845] |I| [load_self]: Loaded module segment 0 @ [0x01967000 - 0x02346738 / 0x81000000] (size: 0x009DF738) of module app0:/Media/Modules/MonoAssembliesPSP2.suprx
[15:09:04.846] |I| [load_self]: Loaded module segment 1 @ [0x02347000 - 0x024B1EA8 / 0x819E0000] (size: 0x0016AEA8) of module app0:/Media/Modules/MonoAssembliesPSP2.suprx
[15:09:04.847] |I| [load_self]: Linking SELF app0:/Media/Modules/MonoAssembliesPSP2.suprx...
[15:09:04.847] |D| [load_var_exports]: Found previously not found variable. nid:0x338b0bd1, new_entry_point:0x248f030
[15:09:04.848] |D| [load_var_exports]: Found previously not found variable. nid:0x3a451b91, new_entry_point:0x24b1ea0
[15:09:04.848] |D| [load_var_exports]: Found previously not found variable. nid:0x550dfe23, new_entry_point:0x248f03c
[15:09:04.848] |D| [load_var_exports]: Found previously not found variable. nid:0x56354517, new_entry_point:0x248f164
[15:09:04.849] |D| [load_var_exports]: Found previously not found variable. nid:0x5ef67445, new_entry_point:0x248f170
[15:09:04.849] |D| [load_var_exports]: Found previously not found variable. nid:0x6aca1d57, new_entry_point:0x248f15c
[15:09:04.849] |D| [load_var_exports]: Found previously not found variable. nid:0x71a78083, new_entry_point:0x248f168
[15:09:04.850] |D| [load_var_exports]: Found previously not found variable. nid:0x79f9db75, new_entry_point:0x248f0bc
[15:09:04.850] |D| [load_var_exports]: Found previously not found variable. nid:0xaa0340c3, new_entry_point:0x248f160
[15:09:04.850] |D| [load_var_exports]: Found previously not found variable. nid:0xf9a1de92, new_entry_point:0x248f16c
[15:09:04.851] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x22db204
[15:09:04.851] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x2346734
