[22:39:19.140] |I| [renderer::gl::compile_shader]: vert shader compiled: 47b718c48061f50e2a3cbefc9a8f5aff65742356b24b7b32478c1da5af3457fe
[22:39:19.147] |I| [renderer::gl::pre_compile_program]: Program Compiled 2/9
[22:39:19.149] |I| [renderer::gl::compile_shader]: frag shader compiled: 5b7ef9a9f63f737a05aca63cb82ce099ba0c180df5f1c18274cc13e99e9b04c5
[22:39:19.151] |I| [renderer::gl::compile_shader]: vert shader compiled: 55692f22262f2e814833af4ebf622dd34d6a9c614ef5ae78293e4ff8c2d4e37e
[22:39:19.158] |I| [renderer::gl::pre_compile_program]: Program Compiled 3/9
[22:39:19.163] |I| [renderer::gl::compile_shader]: frag shader compiled: cfe3acac7256dd128350b27512df33d0e5ce7995195311f7b7ff17f824ff168a
[22:39:19.166] |I| [renderer::gl::compile_shader]: vert shader compiled: e3a0af893df6901bb0ca0aea1761bb87fbae0f3815be85e5abd6c749299331f3
[22:39:19.171] |I| [renderer::gl::pre_compile_program]: Program Compiled 4/9
[22:39:19.182] |I| [renderer::gl::compile_shader]: frag shader compiled: d120f03d7c2036b1e4f9d478413d0413a03f5c19f466c7403e81e4b45352b4cd
[22:39:19.183] |I| [renderer::gl::compile_shader]: vert shader compiled: 55692f22262f2e814833af4ebf622dd34d6a9c614ef5ae78293e4ff8c2d4e37e
[22:39:19.191] |I| [renderer::gl::pre_compile_program]: Program Compiled 5/9
[22:39:19.197] |I| [renderer::gl::compile_shader]: frag shader compiled: 0c1b6e26e2007e0a78abd12d8364622c17bcacc809ed1dcd0d73e091d221807d
[22:39:19.197] |I| [renderer::gl::compile_shader]: vert shader compiled: 55692f22262f2e814833af4ebf622dd34d6a9c614ef5ae78293e4ff8c2d4e37e
[22:39:19.208] |I| [renderer::gl::pre_compile_program]: Program Compiled 6/9
[22:39:19.213] |I| [renderer::gl::compile_shader]: frag shader compiled: 322ca9e4a1cd353baaf1e3e0aacf72a503787b1b4659534ac6a1057608a97af6
[22:39:19.213] |I| [renderer::gl::compile_shader]: vert shader compiled: 87944d7185f57185ab26ddb4662b8976133d6788e7747d150eb60abcf98c9255
[22:39:19.220] |I| [renderer::gl::pre_compile_program]: Program Compiled 7/9
[22:39:19.225] |I| [renderer::gl::compile_shader]: frag shader compiled: f07394281db19cce896c4f717fdbd22f25a0ad7b088647753aebfab7d87b58ce
[22:39:19.229] |I| [renderer::gl::compile_shader]: vert shader compiled: 9567c12789edb4c9c791fa1765b29d1399dc1e2bb56f86039d1ac0b7f76a597f
[22:39:19.237] |I| [renderer::gl::pre_compile_program]: Program Compiled 8/9
[22:39:19.242] |I| [renderer::gl::compile_shader]: frag shader compiled: 5108b727836001b7c1a69d913173abd527504c13daf2178a8b4152601cb72480
[22:39:19.246] |I| [renderer::gl::compile_shader]: vert shader compiled: 0f5ee1222f9bed8fbf011398ded253405d05dd087664890e9b94cd92cfd56a9b
[22:39:19.253] |I| [renderer::gl::pre_compile_program]: Program Compiled 9/9
[22:39:19.269] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[22:39:19.285] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[22:39:19.285] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[22:39:19.286] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[22:39:19.293] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[22:39:19.296] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5E001
[22:39:19.310] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[22:39:19.310] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[22:39:19.311] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[22:39:19.314] |D| [run_app]: Running module_start of library: SceUlt at address 0x94771
[22:39:19.328] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
