[07:15:08.021] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSE00949/mai_moe/mai.suprx), fd: 0x3
[07:15:08.021] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_END
[07:15:08.022] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x3, offset: 0x0, whence: SCE_SEEK_SET
[07:15:08.045] |T| [read_file]: sceKernelLoadStartModule: Reading 87866 bytes of fd 0x3
[07:15:08.046] |I| [load_self]: Loaded module segment 0 @ [0x020FA000 - 0x020FCC24] (size: 0x00002C24) of module app0:mai_moe/mai.suprx
[07:15:08.046] |I| [load_self]: Loaded module segment 1 @ [0x020FD000 - 0x020FE82C] (size: 0x0000182C) of module app0:mai_moe/mai.suprx
[07:15:08.047] |I| [load_self]: Loading symbols for SELF: app0:mai_moe/mai.suprx
[07:15:08.047] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x20FC7E4
[07:15:08.047] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x20FC840
[07:15:08.047] |T| [close_file]: sceKernelLoadStartModule: Closing file fd: 0x3
[07:15:08.072] |T| [stat_file]: sceIoGetstat: Statting file: app0:mai_moe/load_type.mai (ux0:/app/PCSE00949/mai_moe/load_type.mai)
[07:15:08.073] |I| [export_sceIoOpen]: Opening file: app0:mai_moe/load_type.mai
[07:15:08.074] |T| [open_file]: sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSE00949/mai_moe/load_type.mai), fd: 0x4
[07:15:08.074] |T| [stat_file]: sceIoGetstat: Statting file: app0:mai_moe/load_type.mai (ux0:/app/PCSE00949/mai_moe/load_type.mai)
[07:15:08.075] |T| [seek_file]: sceIoLseek: Seeking fd: 0x4, offset: 0x0, whence: SCE_SEEK_SET
[07:15:08.075] |T| [read_file]: sceIoRead: Reading 1 bytes of fd 0x4
[07:15:08.075] |T| [close_file]: sceIoClose: Closing file fd: 0x4
[07:15:08.080] |I| [export_sceKernelLoadStartModule]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[07:15:08.081] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:sce_module/libfios2_m.suprx (ux0:/app/PCSE00949/sce_module/libfios2_m.suprx), fd: 0x5
[07:15:08.082] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_END
[07:15:08.082] |T| [seek_file]: sceKernelLoadStartModule: Seeking fd: 0x5, offset: 0x0, whence: SCE_SEEK_SET
[07:15:08.097] |T| [read_file]: sceKernelLoadStartModule: Reading 266640 bytes of fd 0x5
[07:15:08.098] |I| [load_self]: Loaded module segment 0 @ [0x0217F000 - 0x021ABCBF] (size: 0x0002CCBF) of module app0:sce_module/libfios2_m.suprx
[07:15:08.099] |I| [load_self]: Loaded module segment 1 @ [0x021AC000 - 0x021B1255] (size: 0x00005255) of module app0:sce_module/libfios2_m.suprx
[07:15:08.099] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2_m.suprx
[07:15:08.100] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x21ABBC8
[07:15:08.100] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x21A2F08
[07:15:08.100] |T| [close_file]: sceKernelLoadStartModule: Closing file fd: 0x5
[07:15:08.105] |I| [export_sceKernelLoadStartModule]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") module_start returned 0x0
[07:15:08.107] |W| [io_error_impl]: open_dir (sceIoDopen) returned 0x80010002
[07:15:08.107] |W| [io_error_impl]: read_dir (sceIoDread) returned 0x80010051
[07:15:08.107] |W| [io_error_impl]: close_dir (sceIoDclose) returned 0x80010018
[07:15:08.171] |I| [export_sceKernelLoadStartModule]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") module_start returned 0x0
[07:15:08.205] |T| [write_file]: *** TTY: **** Start apprication ****
[07:15:08.206] |T| [write_file]: *** TTY: step : system init
[07:15:08.314] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[07:15:08.315] |W| [unimplemented_impl]: Unimplemented sceScreenShotSetOverlayImage import called.
[07:15:08.329] |W| [stubbed_impl]: Stubbed sceKernelDelayThreadCB import called. (no CB)
[07:15:08.380] |W| [stubbed_impl]: Stubbed sceNgsSystemGetRequiredMemorySize import called. (size = 1)
[07:15:08.382] |W| [unimplemented_impl]: Unimplemented sceNgsSystemInit import called.
[07:15:08.382] |W| [unimplemented_impl]: Unimplemented sceNgsVoiceDefGetMasterBuss import called.
[07:15:08.383] |W| [stubbed_impl]: Stubbed sceNgsRackGetRequiredMemorySize import called. (size = 1)
[07:15:08.384] |W| [unimplemented_impl]: Unimplemented sceNgsRackInit import called.
[07:15:08.384] |W| [unimplemented_impl]: Unimplemented sceNgsRackGetVoiceHandle import called.
[07:15:08.384] |W| [unimplemented_impl]: Unimplemented sceAudioOutSetVolume import called.
[07:15:08.397] |W| [unimplemented_impl]: Unimplemented sceNgsVoicePlay import called.
[07:15:08.397] |W| [unimplemented_impl]: Unimplemented sceNgsSystemUpdate import called.
[07:15:08.398] |W| [unimplemented_impl]: Unimplemented sceNgsVoiceGetStateData import called.
[07:15:08.398] |W| [unimplemented_impl]: Unimplemented sceSystemGestureInitializePrimitiveTouchRecognizer import called.
[07:15:08.399] |W| [unimplemented_impl]: Unimplemented sceSystemGestureCreateTouchRecognizer import called.
[07:15:08.401] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR11759_00/TROPHY.TRP (ux0:/app/PCSE00949/sce_sys/trophy/NPWR11759_00/TROPHY.TRP), fd: 0x6
[07:15:08.422] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR11759_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR11759_00/TROPUSR.DAT), fd: 0x7
