[21:43:09.987] |W| [io_error_impl]: read_dir (sceIoDread) returned 0x80010051
[21:43:09.988] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x80010002
[21:43:09.991] |W| [io_error_impl]: close_dir (sceIoDclose) returned 0x80010051
[21:43:10.040] |I| [export_sceKernelLoadStartModule]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") module_start returned 0x0
[21:43:12.831] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[21:43:12.832] |W| [unimplemented_impl]: Unimplemented sceAppUtilAppParamGetInt import called.
[21:43:12.835] |W| [unimplemented_impl]: Unimplemented sceCommonDialogSetConfigParam import called.
[21:43:12.872] |W| [stubbed_impl]: Stubbed sceKernelChangeThreadPriority import called. (STUB)
[21:43:12.918] |T| [open_dir]: sceIoDopen: Opening dir app0: (ux0:/app/PCSB00096/)
[21:43:12.921] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.923] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.925] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.930] |T| [stat_file]: sceIoDread: Statting file app0:/eboot.bin (ux0:/app/PCSB00096//eboot.bin)
[21:43:12.938] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.943] |T| [stat_file]: sceIoDread: Statting file app0:/levels.dat (ux0:/app/PCSB00096//levels.dat)
[21:43:12.950] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.953] |T| [stat_file]: sceIoDread: Statting file app0:/mai_moe (ux0:/app/PCSB00096//mai_moe)
[21:43:12.962] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.971] |T| [stat_file]: sceIoDread: Statting file app0:/media (ux0:/app/PCSB00096//media)
[21:43:12.976] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.981] |T| [stat_file]: sceIoDread: Statting file app0:/misc.dat (ux0:/app/PCSB00096//misc.dat)
[21:43:12.986] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:12.989] |T| [stat_file]: sceIoDread: Statting file app0:/resources.dat (ux0:/app/PCSB00096//resources.dat)
[21:43:13.000] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:13.003] |T| [stat_file]: sceIoDread: Statting file app0:/sce_module (ux0:/app/PCSB00096//sce_module)
[21:43:13.007] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:13.011] |T| [stat_file]: sceIoDread: Statting file app0:/sce_sys (ux0:/app/PCSB00096//sce_sys)
[21:43:13.020] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:13.024] |T| [stat_file]: sceIoDread: Statting file app0:/shaders.dat.psp2 (ux0:/app/PCSB00096//shaders.dat.psp2)
[21:43:13.034] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:13.038] |T| [stat_file]: sceIoDread: Statting file app0:/thumbnail (ux0:/app/PCSB00096//thumbnail)
[21:43:13.043] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:43:13.044] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x6
[21:43:13.051] |T| [open_dir]: sceIoDopen: Opening dir app0:/thumbnail (ux0:/app/PCSB00096//thumbnail)
