[21:58:58.026] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[21:58:58.026] |I| [load_self]: Loaded module segment 0 @ [0x00105000 - 0x003461B4 / 0x81000000] (size: 0x002411B4) of module app0:eboot.bin
[21:58:58.028] |I| [load_self]: Loaded module segment 1 @ [0x00347000 - 0x00579830 / 0x81242000] (size: 0x00232830) of module app0:eboot.bin
[21:58:58.029] |I| [load_self]: Linking SELF app0:eboot.bin...
[21:58:58.029] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x302b6c
[21:58:58.030] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x3b2768
[21:58:58.032] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x333054
[21:58:58.033] |I| [load_app_impl]: Main executable CatsBlock (eboot.bin) loaded
[21:58:58.065] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[21:58:58.121] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[21:58:58.121] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[21:58:58.122] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[21:58:58.136] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[21:58:58.140] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[21:58:58.160] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[21:58:58.162] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[21:58:58.166] |D| [run_app]: Running module_start of library: SceUlt at address 0x90771
[21:58:58.186] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[21:58:58.187] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[21:58:58.694] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[21:58:58.695] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[21:58:58.838] |I| [export_sceIoOpen]: Opening file: app0:/data.psarc
[21:58:58.839] |T| [open_file]: sceIoOpen: Opening file app0:/data.psarc (ux0:/app/PCSG01099/data.psarc), fd: 0x3
[21:58:58.862] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[21:58:58.875] |I| [export_sceIoOpen]: Opening file: app0:/data.psarc
[21:58:58.876] |T| [open_file]: sceIoOpen: Opening file app0:/data.psarc (ux0:/app/PCSG01099/data.psarc), fd: 0x4
[21:58:59.045] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[21:58:59.046] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[21:58:59.096] |T| [write_file]: *** TTY: ## api_libgxm/visibility: INIT SUCCEEDED ##
[21:59:02.106] |I| [load_module]: Loading module ID: 0x17
[21:59:02.110] |I| [load_self]: sys/external/libSceXml.suprx: Skipping special segment 0x6fffff01...
[21:59:02.110] |I| [load_self]: Loaded module segment 0 @ [0x0D8E8000 - 0x0D8F6C54 / 0x81000000] (size: 0x0000EC54) of module sys/external/libSceXml.suprx
[21:59:02.112] |I| [load_self]: Loaded module segment 1 @ [0x0D8F7000 - 0x0D8F70B4 / 0x8100F000] (size: 0x000000B4) of module sys/external/libSceXml.suprx
[21:59:02.114] |I| [load_self]: Linking SELF sys/external/libSceXml.suprx...
[21:59:02.115] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xd8f63d8
[21:59:02.118] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xd8f4790
[21:59:02.119] |I| [load_module]: Module SceLibXml (at "sys/external/libSceXml.suprx") loaded
[21:59:02.121] |D| [load_module]: Running module_start of module: SceLibXml
[21:59:02.123] |I| [load_module]: Module SceLibXml (at "sys/external/libSceXml.suprx") module_start returned 0x0
[21:59:02.170] |E| [logging::ret_error_impl]: sceSysmoduleIsLoaded returned SCE_SYSMODULE_ERROR_UNLOADED (0x805a1001)
[21:59:02.176] |W| [stubbed_impl]: Stubbed sceNetCtlInit import called. (Stub)
[21:59:02.177] |W| [stubbed_impl]: Stubbed sceNetCtlInetGetState import called. (state = SCE_NETCTL_STATE_CONNECTED)
[21:59:02.177] |I| [load_module]: Loading module ID: 0x4
[21:59:02.186] |I| [load_self]: sys/external/libhttp.suprx: Skipping special segment 0x6fffff01...
[21:59:02.187] |I| [load_self]: Loaded module segment 0 @ [0x0F266000 - 0x0F283150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[21:59:02.188] |I| [load_self]: Loaded module segment 1 @ [0x0D8FA000 - 0x0D8FA640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[21:59:02.190] |I| [load_self]: Linking SELF sys/external/libhttp.suprx...
[21:59:02.190] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xf281e68
[21:59:02.191] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xf27eca0
[21:59:02.195] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[21:59:02.196] |D| [load_module]: Running module_start of module: SceLibHttp
[21:59:02.198] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") module_start returned 0x0
[21:59:02.221] |I| [load_self]: Loaded module segment 0 @ [0x0F284000 - 0x0F2EAEA4 / 0x81000000] (size: 0x00066EA4) of module sys/external/libssl.suprx
[21:59:02.225] |I| [load_self]: Loaded module segment 1 @ [0x0E926000 - 0x0E92B188 / 0x81067000] (size: 0x00005188) of module sys/external/libssl.suprx
[21:59:02.228] |I| [load_self]: Linking SELF sys/external/libssl.suprx...
[21:59:02.230] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xf2d69b0
[21:59:02.230] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xf2d0c70
[21:59:02.231] |I| [load_module]: Module SceLibSsl (at "sys/external/libssl.suprx") loaded
[21:59:02.232] |T| [log_import_call]: [LLE] TID: 79  FUNC: 0x214926d9 sceHttpInit at 0x30164c
[21:59:02.237] |T| [log_import_call]: [LLE] TID: 79  FUNC: 0x3c733316 sceSslInit at 0x30163c
[21:59:02.248] |W| [unimplemented_impl]: Unimplemented sceNpBasicInit import called.
[21:59:02.248] |I| [load_module]: Loading module ID: 0x55
[21:59:02.250] |I| [load_self]: sys/external/libSceJson.suprx: Skipping special segment 0x6fffff01...
[21:59:02.251] |I| [load_self]: Loaded module segment 0 @ [0x0E92C000 - 0x0E932230 / 0x81000000] (size: 0x00006230) of module sys/external/libSceJson.suprx
[21:59:02.252] |I| [load_self]: Loaded module segment 1 @ [0x0D8FB000 - 0x0D8FB049 / 0x81007000] (size: 0x00000049) of module sys/external/libSceJson.suprx
[21:59:02.254] |I| [load_self]: Linking SELF sys/external/libSceJson.suprx...
[21:59:02.257] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0xe9320a8
[21:59:02.258] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0xe931020
[21:59:02.259] |I| [load_module]: Module SceLibJson (at "sys/external/libSceJson.suprx") loaded
[21:59:02.264] |W| [unimplemented_impl]: Unimplemented sceNpBasicRegisterInGameDataMessageHandler import called.
[21:59:02.275] |T| [write_file]: *** TTY: SystemDialogNP::initialiseNpToolkit: 0x0 
[21:59:02.275] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[21:59:02.283] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR13366_00/TROPHY.TRP (ux0:/app/PCSG01099/sce_sys/trophy/NPWR13366_00/TROPHY.TRP), fd: 0x5
[21:59:02.286] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR13366_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR13366_00/TROPUSR.DAT), fd: 0x6
[21:59:02.290] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR13366_00/TROPCONF.SFM), fd: 0x7
[21:59:02.291] |T| [write_file]: install_trophy_context: Writing to fd: 0x7, size: 2236
[21:59:02.291] |T| [close_file]: install_trophy_context: Closing file fd: 0x7
[21:59:02.293] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR13366_00/TROP.SFM), fd: 0x8
[21:59:02.294] |T| [write_file]: install_trophy_context: Writing to fd: 0x8, size: 5911
[21:59:02.295] |T| [close_file]: install_trophy_context: Closing file fd: 0x8
[21:59:02.296] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP_00.SFM (ux0:/user/00/trophy/conf/NPWR13366_00/TROP_00.SFM), fd: 0x9
[21:59:02.298] |T| [write_file]: install_trophy_context: Writing to fd: 0x9, size: 5911
[21:59:02.300] |E| [logging::ret_error_impl]: sceKernelWaitLwCond returned SCE_KERNEL_ERROR_WAIT_TIMEOUT (0x80028005)
[21:59:02.302] |T| [close_file]: install_trophy_context: Closing file fd: 0x9
[21:59:02.305] |W| [stubbed_impl]: Stubbed sceNetCtlCheckCallback import called. (Stub)
[21:59:02.306] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP_01.SFM (ux0:/user/00/trophy/conf/NPWR13366_00/TROP_01.SFM), fd: 0xa
[21:59:02.308] |T| [write_file]: install_trophy_context: Writing to fd: 0xa, size: 5263
[21:59:02.308] |T| [close_file]: install_trophy_context: Closing file fd: 0xa
[21:59:02.309] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR13366_00/TROP_10.SFM (ux0:/user/00/trophy/conf/NPWR13366_00/TROP_10.SFM), fd: 0xb
[21:59:02.310] |W| [stubbed_impl]: Stubbed sceNpCheckCallback import called. (Stub)
[21:59:02.311] |T| [write_file]: install_trophy_context: Writing to fd: 0xb, size: 5686
[21:59:02.312] |T| [close_file]: install_trophy_context: Closing file fd: 0xb
