[21:02:17.310] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02 (ux0:data/bermuda/DATA/02)
[21:02:17.311] |T| [open_dir]: sceIoDopen: Opening dir ux0:data/bermuda/DATA/02 (ux0:data/bermuda/DATA/02)
[21:02:17.311] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.311] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.312] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.312] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/BOX.MOV (ux0:data/bermuda/DATA/02/BOX.MOV)
[21:02:17.312] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.313] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/BOX.SPR (ux0:data/bermuda/DATA/02/BOX.SPR)
[21:02:17.313] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.315] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/EXTRA.MOV (ux0:data/bermuda/DATA/02/EXTRA.MOV)
[21:02:17.316] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.316] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/EXTRA.SPR (ux0:data/bermuda/DATA/02/EXTRA.SPR)
[21:02:17.317] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.317] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/GIRL.MOV (ux0:data/bermuda/DATA/02/GIRL.MOV)
[21:02:17.318] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.318] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/GIRL.SPR (ux0:data/bermuda/DATA/02/GIRL.SPR)
[21:02:17.319] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.319] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/MONSTER.MOV (ux0:data/bermuda/DATA/02/MONSTER.MOV)
[21:02:17.320] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.320] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/MONSTER.SPR (ux0:data/bermuda/DATA/02/MONSTER.SPR)
[21:02:17.321] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.321] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/SCR.MOV (ux0:data/bermuda/DATA/02/SCR.MOV)
[21:02:17.322] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.322] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/SCR.SPR (ux0:data/bermuda/DATA/02/SCR.SPR)
[21:02:17.323] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.323] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/VIEW.MOV (ux0:data/bermuda/DATA/02/VIEW.MOV)
[21:02:17.323] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.324] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/02/VIEW.SPR (ux0:data/bermuda/DATA/02/VIEW.SPR)
[21:02:17.324] |T| [read_dir]: sceIoDread: Reading dir fd: 0x5
[21:02:17.326] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x5
[21:02:17.327] |T| [read_dir]: sceIoDread: Reading dir fd: 0x3
[21:02:17.327] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/03 (ux0:data/bermuda/DATA/03)
[21:02:17.327] |T| [open_dir]: sceIoDopen: Opening dir ux0:data/bermuda/DATA/03 (ux0:data/bermuda/DATA/03)
[21:02:17.328] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.328] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.328] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.329] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/03/ACRO.MOV (ux0:data/bermuda/DATA/03/ACRO.MOV)
[21:02:17.329] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.329] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/03/ACRO.SPR (ux0:data/bermuda/DATA/03/ACRO.SPR)
[21:02:17.330] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.330] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/03/FOOD.MOV (ux0:data/bermuda/DATA/03/FOOD.MOV)
[21:02:17.331] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.331] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/03/FOOD.SPR (ux0:data/bermuda/DATA/03/FOOD.SPR)
[21:02:17.332] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[21:02:17.333] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x6
[21:02:17.333] |T| [read_dir]: sceIoDread: Reading dir fd: 0x3
[21:02:17.333] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/04 (ux0:data/bermuda/DATA/04)
[21:02:17.333] |T| [open_dir]: sceIoDopen: Opening dir ux0:data/bermuda/DATA/04 (ux0:data/bermuda/DATA/04)
[21:02:17.334] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:02:17.334] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:02:17.334] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:02:17.335] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/04/CROC.MOV (ux0:data/bermuda/DATA/04/CROC.MOV)
[21:02:17.335] |T| [read_dir]: sceIoDread: Reading dir fd: 0x7
[21:02:17.337] |T| [stat_file]: sceIoDread: Statting file ux0:data/bermuda/DATA/04/CROC.SPR (ux0:data/bermuda/DATA/04/CROC.SPR)
