[20:45:48.509] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.510] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.510] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.511] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.511] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.511] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.513] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.513] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.514] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.514] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.515] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.515] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.515] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.516] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.516] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.516] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.517] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.517] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.518] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.519] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.519] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.519] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.520] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.520] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.521] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.521] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
[20:45:48.521] |T| [read_dir]:  sceIoDread: Reading dir fd: 0x6
