|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:36:37.670] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.673] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.692] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.695] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.697] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.700] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.703] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.705] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.726] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.728] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.731] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.734] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.737] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.739] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.759] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.761] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.764] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.766] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.769] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.771] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.792] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.794] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.797] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.800] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.802] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.804] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.826] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.829] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.833] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.835] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.838] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.840] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.859] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.862] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.867] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.869] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.871] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.874] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.892] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.894] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.897] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.899] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.902] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.904] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.926] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.928] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.933] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.936] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.939] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.941] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.959] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.961] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.964] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.967] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.970] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.972] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.992] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.995] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:37.997] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.000] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.003] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.005] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.026] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.029] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.034] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.037] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.039] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.041] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.059] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.062] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.067] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.069] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.071] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.074] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.092] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.095] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.100] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.102] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.104] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.107] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.127] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.129] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.134] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.136] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.139] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.141] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.159] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.161] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.165] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.167] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.169] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.172] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.192] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.195] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.198] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.201] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.203] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.205] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.226] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.228] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.234] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.236] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.238] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.241] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.259] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.262] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.264] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.267] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.269] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.272] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.292] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.295] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.297] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.300] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.302] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.305] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.326] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.329] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.333] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.335] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.338] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.340] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.359] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.362] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.367] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.370] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.372] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.374] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.393] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.396] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.400] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.403] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.406] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.408] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.426] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.429] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.433] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.436] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.438] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.440] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.459] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.461] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.464] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.466] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.469] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.472] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.492] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.495] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.499] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.501] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.503] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.506] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.526] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.529] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.534] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.537] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.539] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.541] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.559] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.562] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.564] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.567] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.569] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.571] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.592] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.595] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.600] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.602] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.605] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.607] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.626] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.629] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.634] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.636] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.638] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.641] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.659] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.662] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.667] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.669] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.671] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.674] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.692] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.695] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.697] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.700] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.702] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.704] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.726] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.728] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.734] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.737] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.739] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.741] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.759] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.762] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.765] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.767] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.769] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.771] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.792] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.795] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.797] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.800] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.802] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.804] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.826] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.829] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.834] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.836] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.838] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.841] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.859] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.862] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.867] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.870] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.872] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.875] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.892] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.895] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.900] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.903] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.905] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.908] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.926] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.929] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.934] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.936] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.939] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.941] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.959] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.961] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.964] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.966] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.969] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.972] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.992] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.995] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:38.999] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.002] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.005] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.007] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.026] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.030] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.034] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.037] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.039] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.042] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.059] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.062] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.067] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.069] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.071] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.073] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.092] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.095] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.097] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.099] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.102] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.104] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.223] |I| [export_sceIoOpen]: Opening file: tty3:
[10:36:39.224] |E| [open_file]: Cannot find device for path: tty3:
[10:36:39.224] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:36:39.225] |T| [write_file]: *** TTY: DEBUG: LoadFileSync (rc1/psp2data/global/options_ss/options_ss[0].ps3) opened [1515578]
[10:36:39.227] |I| [export_sceIoOpen]: Opening file: tty3:
[10:36:39.227] |E| [open_file]: Cannot find device for path: tty3:
[10:36:39.228] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:36:39.228] |T| [write_file]: *** TTY: DEBUG: LoadFileSync (rc1/psp2data/global/options_ss/options_ss[0].vram) opened [1523771]
[10:36:39.326] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.330] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.334] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.337] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.360] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.364] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.367] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.371] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.374] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.393] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.397] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.400] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.403] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.406] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.425] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.429] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.433] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.437] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.439] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.459] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.463] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.467] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.471] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.474] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.493] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.498] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.501] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.505] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:36:39.508] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
