|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:54.595] |I| [load_self]: Loaded module segment 1 @ [0x81605000 - 0x8209CB6C / 0x81605000] (size: 0x00A97B6C) of module app0:rc1.self
[10:32:54.596] |I| [load_self]: Linking SELF app0:rc1.self...
[10:32:54.596] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x815C36C8
[10:32:54.597] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x8160540C
[10:32:54.597] |I| [load_app_impl]: Main executable BootVita (rc1.self) loaded
[10:32:54.620] |D| [run_app]: Running module_start of library: SceLibc at address 0x5809
[10:32:54.643] |W| [stubbed_impl]: Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[10:32:54.725] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[10:32:54.725] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[10:32:54.726] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[10:32:54.735] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[10:32:54.739] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x56001
[10:32:54.760] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[10:32:54.761] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[10:32:54.765] |D| [run_app]: Running module_start of library: SceUlt at address 0x8B661
[10:32:54.784] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[10:32:54.785] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[10:32:54.790] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[10:32:54.796] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[10:32:54.852] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:54.853] |E| [open_file]: Cannot find device for path: tty3:
[10:32:54.853] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:54.854] |T| [open_file]: _sceKernelLoadStartModule: Opening file app0:RcConfig.suprx (ux0:/app/PCSF00482/RcConfig.suprx), fd: 0x3
[10:32:54.855] |I| [load_self]: app0:RcConfig.suprx: Skipping special segment 0x6FFFFF01...
[10:32:54.855] |I| [load_self]: Loaded module segment 0 @ [0x00142000 - 0x001423E8 / 0x81000000] (size: 0x000003E8) of module app0:RcConfig.suprx
[10:32:54.856] |I| [load_self]: Loaded module segment 1 @ [0x00143000 - 0x0014300C / 0x81001000] (size: 0x0000000C) of module app0:RcConfig.suprx
[10:32:54.857] |I| [load_self]: Linking SELF app0:RcConfig.suprx...
[10:32:54.858] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x142230
[10:32:54.858] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x3
[10:32:54.859] |I| [start_module]: Module RcConfig (at "app0:RcConfig.suprx") module_start returned 0x0
[10:32:54.859] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xC8D8C4B5 UNRECOGNISED at 0x815C2A58
[10:32:54.860] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:54.860] |E| [open_file]: Cannot find device for path: tty3:
[10:32:54.861] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:54.891] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[10:32:54.892] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[10:32:54.944] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:54.945] |E| [open_file]: Cannot find device for path: tty3:
[10:32:54.946] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
