[04:46:00.231] |I| [load_self]: Loaded module segment 1 @ [0x03DAE000 - 0x045D0E40 / 0x84CA9000] (size: 0x00822E40) of module app0:eboot.bin
[04:46:00.232] |I| [load_self]: Linking SELF app0:eboot.bin...
[04:46:00.232] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x39ed740
[04:46:00.233] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x3dae08c
[04:46:00.234] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x3c7de2c
[04:46:00.235] |W| [load_var_imports]: 	NID NOT FOUND 0x1a5c609 (UNRECOGNISED) at 0x3a3cfc0, setting to stub value 0xdeadbeef
[04:46:00.236] |W| [load_var_imports]: 	NID NOT FOUND 0x6ef1e48 (UNRECOGNISED) at 0x3a3a994, setting to stub value 0xdeadbeef
[04:46:00.239] |I| [load_app_impl]: Main executable UnityPlayer_522_Release (eboot.bin) loaded
[04:46:00.243] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[04:46:00.244] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[04:46:00.246] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/14
[04:46:00.247] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/14
[04:46:00.248] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/14
[04:46:00.249] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 4/14
[04:46:00.249] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 5/14
[04:46:00.250] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 6/14
[04:46:00.251] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 7/14
[04:46:00.252] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 8/14
[04:46:00.252] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 9/14
[04:46:00.253] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 10/14
[04:46:00.254] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 11/14
[04:46:00.256] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 12/14
[04:46:00.258] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 13/14
[04:46:00.259] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 14/14
[04:46:00.275] |D| [run_app]: Running module_start of library: SceLibc at address 0x5871
[04:46:00.293] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[04:46:00.293] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[04:46:00.294] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[04:46:00.302] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[04:46:00.305] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5a001
[04:46:00.320] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[04:46:00.321] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
