[11:25:09.582] |D| [start_module]: Running module_start of library: SceLibc at address 0x67f1
[11:25:09.617] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[11:25:09.619] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[11:25:09.620] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[11:25:09.638] |I| [start_module]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[11:25:09.649] |D| [start_module]: Running module_start of library: SceLibFios2 at address 0x54001
[11:25:09.683] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[11:25:09.684] |I| [start_module]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[11:25:09.690] |I| [load_module]: Loading module "app0:mai_moe/mai.suprx"
[11:25:09.698] |I| [load_self]: Loaded module segment 0 @ [0x00123000 - 0x00125C24 / 0x00008000] (size: 0x00002C24) of module app0:mai_moe/mai.suprx
[11:25:09.699] |I| [load_self]: Loaded module segment 1 @ [0x00126000 - 0x0012782C / 0x00020000] (size: 0x0000182C) of module app0:mai_moe/mai.suprx
[11:25:09.700] |I| [load_self]: Linking SELF app0:mai_moe/mai.suprx...
[11:25:09.701] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x1257e4
[11:25:09.702] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x125840
[11:25:09.703] |I| [load_module]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") loaded
[11:25:09.704] |D| [start_module]: Running module_start of library: output/testprx.elf at address 0x124b95
[11:25:09.758] |E| [logging::ret_error_impl]: _sceAppMgrAppParamGetString returned SCE_APPMGR_ERROR_INVALID (0x8080201a)
[11:25:09.762] |I| [export_sceIoOpen]: Opening file: app0:mai_moe/load_type.mai
[11:25:09.764] |T| [open_file]: sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSB00515/mai_moe/load_type.mai), fd: 0x3
[11:25:09.766] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[11:25:09.767] |D| [start_module]: Running module_start of library: SceLibFios2 at address 0x54001
[11:25:09.800] |I| [start_module]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[11:25:09.805] |I| [load_module]: Loading module "app0:sce_module/libfios2_m.suprx"
[11:25:09.815] |I| [load_self]: Loaded module segment 0 @ [0x001EC000 - 0x0021022C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2_m.suprx
[11:25:09.816] |I| [load_self]: Loaded module segment 1 @ [0x00211000 - 0x002161A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2_m.suprx
[11:25:09.817] |I| [load_self]: Linking SELF app0:sce_module/libfios2_m.suprx...
[11:25:09.818] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x208b70
[11:25:09.820] |I| [load_module]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") loaded
[11:25:09.821] |D| [start_module]: Running module_start of library: mceLibFios2 at address 0x1ec001
[11:25:09.846] |I| [start_module]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") module_start returned 0x0
[11:25:09.850] |E| [open_dir]: Directory does not exist at: C:/Users/neptunialover/AppData/Roaming/Vita3K/Vita3K/ux0/plugins/ (target path: ux0:plugins)
[11:25:09.851] |W| [io_error_impl]: open_dir (_sceIoDopen) returned 0x80010002
[11:25:09.852] |W| [io_error_impl]: read_dir (_sceIoDread) returned 0x80010051
[11:25:09.853] |W| [io_error_impl]: close_dir (sceIoDclose) returned 0x80010018
[11:25:09.859] |I| [start_module]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") module_start returned 0x0
[11:25:09.864] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xbfe02b3a __cxa_set_dso_handle_main at 0x811f1f98
[11:25:09.865] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xedc939e1 __aeabi_atexit at 0x811f2038
[11:25:09.883] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x6dc1f0d8 memset at 0x811f1e68
[11:25:09.997] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd0310e31 __cxa_guard_acquire at 0x811f1fc8
[11:25:09.999] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x4ed1056f __cxa_guard_release at 0x811f1e38
[11:25:10.316] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xf99ed5ac _Znwj at 0x811f21b8
[11:25:10.350] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[11:25:10.359] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xa1bff606 snprintf at 0x811f1f28
[11:25:10.383] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MiB emuenv mem)
[11:25:10.455] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
