[12:58:06.836] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:mai_moe/mai.suprx (ux0:/app/PCSE00501/mai_moe/mai.suprx)
[12:58:06.837] |T| [seek_file]: sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_END
[12:58:06.837] |T| [seek_file]: sceKernelLoadStartModule: Seeking file: fd: 0x3 at offset: 0x0, whence: SCE_SEEK_SET
[12:58:06.838] |T| [read_file]: sceKernelLoadStartModule: Reading file: fd: 0x3, size: 87866
[12:58:06.839] |I| [load_self]: Loading symbols for SELF: app0:mai_moe/mai.suprx
[12:58:06.839] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE8B7E4
[12:58:06.840] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xE8B840
[12:58:06.841] |T| [close_file]: sceKernelLoadStartModule: Closing file: fd: 0x3
[12:58:06.851] |T| [stat_file]: sceIoGetstat: Statting file app0:mai_moe/load_type.mai (ux0:/app/PCSE00501/mai_moe/load_type.mai)
[12:58:06.852] |I| [export_sceIoOpen]: Opening file: app0:mai_moe/load_type.mai
[12:58:06.853] |T| [open_file]: sceIoOpen: Opening file app0:mai_moe/load_type.mai (ux0:/app/PCSE00501/mai_moe/load_type.mai)
[12:58:06.854] |T| [stat_file]: sceIoGetstat: Statting file app0:mai_moe/load_type.mai (ux0:/app/PCSE00501/mai_moe/load_type.mai)
[12:58:06.855] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x4 at offset: 0x0, whence: SCE_SEEK_SET
[12:58:06.855] |T| [read_file]: sceIoRead: Reading file: fd: 0x4, size: 1
[12:58:06.856] |T| [close_file]: sceIoClose: Closing file: fd: 0x4
[12:58:06.861] |I| [export_sceKernelLoadStartModule]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[12:58:06.863] |T| [open_file]: sceKernelLoadStartModule: Opening file app0:sce_module/libfios2_m.suprx (ux0:/app/PCSE00501/sce_module/libfios2_m.suprx)
[12:58:06.864] |T| [seek_file]: sceKernelLoadStartModule: Seeking file: fd: 0x5 at offset: 0x0, whence: SCE_SEEK_END
[12:58:06.864] |T| [seek_file]: sceKernelLoadStartModule: Seeking file: fd: 0x5 at offset: 0x0, whence: SCE_SEEK_SET
[12:58:06.865] |T| [read_file]: sceKernelLoadStartModule: Reading file: fd: 0x5, size: 257648
[12:58:06.866] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2_m.suprx
[12:58:06.866] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xF39244
[12:58:06.867] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xF30878
[12:58:06.867] |T| [close_file]: sceKernelLoadStartModule: Closing file: fd: 0x5
[12:58:06.872] |I| [export_sceKernelLoadStartModule]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") module_start returned 0x0
[12:58:06.874] |T| [open_dir]: sceIoDopen: Opening dir ux0:plugins (ux0:plugins)
[12:58:06.875] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[12:58:06.875] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[12:58:06.876] |T| [read_dir]: sceIoDread: Reading dir fd: 0x6
[12:58:06.876] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x6
[12:58:06.951] |I| [export_sceKernelLoadStartModule]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") module_start returned 0x0
[12:58:07.241] |W| [stubbed_impl]: Stubbed sceDisplayWaitSetFrameBuf import called. (move after setframebuf)
[12:58:07.269] |I| [export_sceIoOpen]: Opening file: app0:PSVita/psX.gxt
[12:58:07.269] |T| [open_file]: sceIoOpen: Opening file app0:PSVita/psX.gxt (ux0:/app/PCSE00501/PSVita/psX.gxt)
[12:58:07.270] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x7 at offset: 0x0, whence: SCE_SEEK_END
[12:58:07.270] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x7 at offset: 0x0, whence: SCE_SEEK_SET
[12:58:07.271] |T| [read_file]: sceIoRead: Reading file: fd: 0x7, size: 25664
[12:58:07.271] |T| [close_file]: sceIoClose: Closing file: fd: 0x7
[12:58:07.274] |I| [export_sceIoOpen]: Opening file: app0:PSVita/psO.gxt
[12:58:07.274] |T| [open_file]: sceIoOpen: Opening file app0:PSVita/psO.gxt (ux0:/app/PCSE00501/PSVita/psO.gxt)
[12:58:07.275] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x8 at offset: 0x0, whence: SCE_SEEK_END
[12:58:07.275] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x8 at offset: 0x0, whence: SCE_SEEK_SET
[12:58:07.275] |T| [read_file]: sceIoRead: Reading file: fd: 0x8, size: 25664
[12:58:07.276] |T| [close_file]: sceIoClose: Closing file: fd: 0x8
[12:58:07.281] |I| [export_sceIoOpen]: Opening file: app0:PSVita/psSquare.gxt
[12:58:07.282] |T| [open_file]: sceIoOpen: Opening file app0:PSVita/psSquare.gxt (ux0:/app/PCSE00501/PSVita/psSquare.gxt)
[12:58:07.283] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x9 at offset: 0x0, whence: SCE_SEEK_END
[12:58:07.283] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0x9 at offset: 0x0, whence: SCE_SEEK_SET
[12:58:07.284] |T| [read_file]: sceIoRead: Reading file: fd: 0x9, size: 25664
[12:58:07.284] |T| [close_file]: sceIoClose: Closing file: fd: 0x9
[12:58:07.285] |I| [export_sceIoOpen]: Opening file: app0:PSVita/psX2.gxt
[12:58:07.285] |T| [open_file]: sceIoOpen: Opening file app0:PSVita/psX2.gxt (ux0:/app/PCSE00501/PSVita/psX2.gxt)
[12:58:07.286] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0xA at offset: 0x0, whence: SCE_SEEK_END
[12:58:07.286] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0xA at offset: 0x0, whence: SCE_SEEK_SET
[12:58:07.287] |T| [read_file]: sceIoRead: Reading file: fd: 0xA, size: 25664
[12:58:07.288] |T| [close_file]: sceIoClose: Closing file: fd: 0xA
[12:58:07.289] |I| [export_sceIoOpen]: Opening file: app0:PSVita/psO2.gxt
[12:58:07.289] |T| [open_file]: sceIoOpen: Opening file app0:PSVita/psO2.gxt (ux0:/app/PCSE00501/PSVita/psO2.gxt)
[12:58:07.290] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0xB at offset: 0x0, whence: SCE_SEEK_END
[12:58:07.290] |T| [seek_file]: sceIoLseek: Seeking file: fd: 0xB at offset: 0x0, whence: SCE_SEEK_SET
[12:58:07.290] |T| [read_file]: sceIoRead: Reading file: fd: 0xB, size: 25664
[12:58:07.291] |T| [close_file]: sceIoClose: Closing file: fd: 0xB
[12:58:07.292] |W| [unimplemented_impl]: Unimplemented scePvfNewLib import called.
[12:58:07.292] |W| [unimplemented_impl]: Unimplemented scePvfSetEM import called.
[12:58:07.293] |W| [unimplemented_impl]: Unimplemented scePvfSetResolution import called.
[12:58:07.295] |T| [open_file]: create_trophy_context: Opening file app0:sce_sys/trophy/NPWR07081_00/TROPHY.TRP (ux0:/app/PCSE00501/sce_sys/trophy/NPWR07081_00/TROPHY.TRP)
[12:58:07.295] |T| [create_dir]: create_trophy_context: Creating dir ux0:/user/00/trophy/data/NPWR07081_00/ (ux0:/user/00/trophy/data/NPWR07081_00/)
[12:58:07.296] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR07081_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR07081_00/TROPUSR.DAT)
[12:58:07.298] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 4
[12:58:07.298] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x10, whence: SCE_SEEK_SET
[12:58:07.298] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 4
[12:58:07.299] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 4
[12:58:07.299] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x40, whence: SCE_SEEK_SET
[12:58:07.300] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.300] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.300] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.301] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.301] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.301] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.302] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.302] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.303] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.303] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.303] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.304] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.304] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.304] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x60, whence: SCE_SEEK_SET
[12:58:07.305] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.305] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.305] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x80, whence: SCE_SEEK_SET
[12:58:07.306] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.306] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.308] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.308] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.309] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.309] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.309] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.310] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.310] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.311] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0xA0, whence: SCE_SEEK_SET
[12:58:07.311] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.311] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.312] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0xC0, whence: SCE_SEEK_SET
[12:58:07.312] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.312] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.313] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.313] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.314] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.314] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.314] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.315] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.315] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.316] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.317] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0xE0, whence: SCE_SEEK_SET
[12:58:07.318] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.318] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.319] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x100, whence: SCE_SEEK_SET
[12:58:07.319] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.319] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.320] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.320] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.320] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.321] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.321] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.321] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.322] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.322] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.323] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.323] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.324] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x120, whence: SCE_SEEK_SET
[12:58:07.324] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.325] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.325] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x140, whence: SCE_SEEK_SET
[12:58:07.326] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.326] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.328] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.328] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.329] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.329] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.329] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.330] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.330] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.330] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.331] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.331] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.332] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x160, whence: SCE_SEEK_SET
[12:58:07.333] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.333] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.333] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x180, whence: SCE_SEEK_SET
[12:58:07.334] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.334] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.335] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.336] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.336] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.338] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.338] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.338] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.339] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.339] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.339] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.340] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.340] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x1A0, whence: SCE_SEEK_SET
[12:58:07.340] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.341] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.341] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x1C0, whence: SCE_SEEK_SET
[12:58:07.342] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.342] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.343] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.343] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.344] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.344] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.344] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.345] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.345] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.346] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.346] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.348] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.348] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x1E0, whence: SCE_SEEK_SET
[12:58:07.349] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.349] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.349] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x200, whence: SCE_SEEK_SET
[12:58:07.350] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.350] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.352] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.352] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.353] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.353] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.353] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.354] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.354] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.355] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.355] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.355] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.356] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x220, whence: SCE_SEEK_SET
[12:58:07.356] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.357] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.358] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x240, whence: SCE_SEEK_SET
[12:58:07.358] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.359] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.359] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.360] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.360] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.361] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.361] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.361] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.362] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.362] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.362] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.363] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 1
[12:58:07.363] |T| [seek_file]: parse_trophy_file: Seeking file: fd: 0xC at offset: 0x260, whence: SCE_SEEK_SET
[12:58:07.364] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
[12:58:07.364] |T| [read_file]: parse_trophy_file: Reading file: fd: 0xC, size: 8
